bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,EC,ES,FI,FR,GB,GL,GR,HK,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KW,KZ,LA,LK,LU,MD,MK,MT,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PL,PT,RO,RU,SD,SE,SG,SY,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA
2022-05-08T10,139,3,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,12,0,0,0,0,25,0,0,0,1,5,5,0,0,6,0,0,0,5,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,6,0,2,6,1,5,0,0,2,0,0,28,0,0,1,0
2022-05-08T11,129,5,0,0,0,0,0,0,1,0,0,3,0,3,0,1,0,21,0,0,0,0,20,0,0,1,0,4,7,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,2,3,0,2,7,0,3,0,0,2,0,0,26,0,0,1,0
2022-05-08T12,148,3,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,18,0,0,0,0,23,1,0,2,0,6,6,0,0,13,1,0,0,1,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,2,5,0,2,11,0,8,0,1,2,0,0,22,0,0,1,0
2022-05-08T13,184,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,11,0,0,0,0,33,1,0,2,0,7,8,0,0,11,0,0,0,0,1,0,10,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,4,0,7,12,0,8,0,1,6,0,0,38,0,0,3,1
2022-05-08T14,216,3,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,11,0,0,0,0,23,0,0,2,0,7,12,0,0,12,0,0,0,1,0,0,16,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,2,0,0,3,0,6,10,0,18,0,1,3,0,0,63,0,0,3,0
2022-05-08T15,198,2,0,0,0,0,1,0,0,0,0,1,1,7,0,0,0,10,0,0,0,0,22,1,0,4,2,6,9,0,0,9,0,0,0,0,0,1,30,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,2,0,1,4,0,7,5,0,14,0,2,4,0,0,32,0,0,1,0
2022-05-08T16,229,1,0,0,1,1,0,0,2,0,0,0,0,3,0,0,0,5,0,0,0,0,45,0,0,4,1,16,10,0,0,11,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,1,2,0,0,4,0,16,7,0,10,0,3,3,0,0,42,0,0,0,0
2022-05-08T17,214,2,0,0,0,0,2,0,2,0,0,0,0,15,1,0,0,2,0,0,0,0,45,0,0,5,2,11,6,0,0,5,0,0,0,4,0,0,24,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11,0,0,0,0,0,1,0,2,3,0,13,7,0,11,0,3,3,0,0,26,0,0,1,0
2022-05-08T18,195,2,0,1,2,0,2,0,2,1,0,0,0,10,1,0,0,5,0,0,0,0,42,0,0,10,1,14,11,0,0,3,1,0,1,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,0,2,0,7,6,0,6,0,3,2,0,0,18,0,1,2,0
2022-05-08T19,217,1,0,0,0,24,1,0,2,0,0,0,1,16,1,0,0,8,0,0,0,0,33,0,0,10,0,13,15,0,0,2,1,0,2,0,0,0,18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,3,0,6,6,0,8,0,3,1,0,0,26,0,0,1,0
2022-05-08T20,229,2,0,0,1,0,0,0,1,0,0,0,0,18,3,0,0,10,0,0,1,0,32,0,0,4,0,6,15,0,0,2,0,0,1,4,0,0,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,2,2,3,0,2,6,0,5,0,3,1,0,0,61,0,1,5,0
2022-05-08T21,173,4,0,0,0,0,0,0,1,0,0,3,0,5,3,0,0,5,0,0,0,0,23,0,0,3,0,9,16,0,0,1,0,0,1,1,1,1,21,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,3,1,4,0,1,6,0,3,1,0,0,0,0,41,0,1,0,0
2022-05-08T22,141,2,0,1,0,1,1,0,0,0,0,0,0,14,1,0,0,8,0,0,0,0,17,0,0,2,0,3,11,0,0,0,0,0,0,0,0,0,13,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,3,0,4,0,1,9,0,0,1,0,1,0,0,33,0,0,1,0
2022-05-08T23,161,3,0,1,0,1,1,0,0,0,0,1,0,9,0,0,0,5,1,0,0,0,7,0,1,1,0,4,8,0,0,3,0,1,0,1,0,0,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,1,4,0,1,5,0,1,0,1,0,0,0,74,1,0,1,0
2022-05-09T00,117,3,0,1,0,1,0,0,0,0,0,1,0,8,1,0,0,8,0,0,0,0,4,0,0,0,0,4,5,0,0,2,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,4,0,1,7,0,0,0,0,1,1,0,42,0,0,3,0
2022-05-09T01,131,3,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,8,0,0,0,0,6,0,0,0,0,1,3,0,0,4,0,0,0,1,0,0,0,21,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,3,0,1,6,0,0,0,0,1,0,0,54,0,0,0,0
2022-05-09T02,144,2,0,0,0,18,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,5,0,0,0,0,3,5,0,1,10,1,1,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,2,0,1,6,1,0,0,0,0,0,0,49,0,0,1,0
2022-05-09T03,133,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,5,0,0,0,0,3,6,0,1,17,1,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,4,0,1,9,0,0,0,0,1,0,0,47,0,0,3,0
2022-05-09T04,135,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,6,0,0,0,0,2,4,0,0,7,1,0,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,1,0,0,0,0,3,0,2,11,0,2,0,0,2,0,0,40,0,0,3,0
2022-05-09T05,112,2,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,8,0,0,0,0,9,0,0,1,0,3,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,1,1,0,0,0,3,0,2,8,0,4,0,0,2,0,0,45,0,0,0,0
2022-05-09T06,119,2,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,13,0,0,0,0,12,0,0,0,0,1,3,0,0,8,0,0,0,11,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,5,0,2,0,0,2,0,0,40,0,0,1,0
2022-05-09T07,93,3,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,10,0,0,0,0,8,0,0,0,0,2,3,0,0,13,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,2,4,0,1,6,0,1,0,0,1,0,0,21,0,0,1,0
2022-05-09T08,115,3,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,8,0,0,0,0,8,0,0,1,1,6,3,0,0,5,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,2,0,3,11,0,2,0,0,4,0,0,34,0,0,0,0
2022-05-09T09,146,3,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,7,0,0,0,0,9,0,0,3,1,7,8,0,0,3,1,11,0,10,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,4,0,2,8,0,3,0,1,6,0,0,30,0,0,1,0
2022-05-09T10,131,3,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,14,0,0,0,0,10,0,0,3,0,4,4,0,0,5,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,3,0,1,5,0,5,0,2,2,0,0,47,0,0,0,0
2022-05-09T11,159,3,0,1,1,2,0,0,0,0,0,1,0,4,0,0,0,16,0,0,0,0,11,0,0,1,1,6,4,0,0,3,0,1,0,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,1,0,2,4,0,3,6,0,3,0,2,7,0,0,49,0,0,0,0
2022-05-09T12,158,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,11,0,0,2,2,8,3,0,0,7,1,0,0,6,0,0,4,5,0,0,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,1,0,1,4,0,1,11,0,10,0,1,8,0,0,37,0,0,1,0
2022-05-09T13,155,2,0,0,0,2,1,0,1,0,0,2,0,6,1,0,0,17,0,0,0,0,13,0,0,1,0,8,5,0,0,10,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,1,0,1,0,1,1,0,7,0,0,0,0,2,0,1,0,2,0,5,6,0,11,0,1,7,0,0,24,0,0,6,0
2022-05-09T14,161,2,0,0,1,2,0,0,0,0,0,2,0,5,0,0,0,9,1,0,0,0,16,0,0,2,1,10,9,0,0,15,1,2,0,0,0,0,5,3,0,0,2,0,0,0,0,1,0,0,0,0,2,0,13,0,0,0,0,1,0,0,0,2,0,1,9,0,20,0,0,6,0,0,16,0,0,2,0
2022-05-09T15,163,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,17,1,0,0,0,22,0,0,3,1,6,9,0,0,13,0,0,0,0,0,0,8,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,3,0,0,0,3,0,2,6,0,19,0,0,7,1,0,16,0,0,1,0
2022-05-09T16,191,2,8,0,0,1,0,0,0,0,0,1,0,5,0,0,0,12,0,0,1,0,28,0,0,10,0,10,8,0,0,8,1,0,0,0,0,0,12,6,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10,0,1,0,0,2,2,0,1,3,0,1,7,0,17,0,2,7,1,0,19,0,0,1,0
2022-05-09T17,268,3,1,0,2,0,0,0,0,0,0,1,1,11,2,0,0,13,0,0,1,0,61,0,0,9,1,8,16,0,0,7,0,15,0,2,0,0,14,3,0,0,2,1,0,0,0,0,0,2,1,0,1,0,11,0,0,0,0,0,1,0,1,3,0,7,6,0,13,0,1,5,0,0,41,0,1,0,0
2022-05-09T18,158,4,0,0,2,0,0,0,1,0,0,0,0,10,0,0,0,6,0,0,1,0,34,0,0,8,2,4,11,0,0,3,0,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,3,5,0,8,0,0,1,0,0,20,0,1,0,0
