bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IN,IR,IS,IT,JP,KE,KR,KZ,LT,LU,MO,MX,MY,NA,NL,NO,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SR,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZM,ZW
2022-07-17T10,120,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,17,0,1,12,1,0,5,0,5,7,4,0,0,0,1,4,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,3,0,1,6,0,0,0,0,3,0,4,0,25,0,0,0,0,0
2022-07-17T11,133,1,0,0,1,0,0,0,2,0,0,1,2,2,0,0,20,0,0,13,0,0,4,0,1,4,2,0,0,0,1,2,0,1,0,0,0,0,5,2,0,1,0,1,0,1,0,1,0,5,1,1,1,0,0,0,0,0,0,5,0,1,6,0,0,0,0,4,0,10,0,31,0,0,0,0,0
2022-07-17T12,148,0,0,1,0,0,0,0,4,0,0,1,3,1,0,0,21,0,0,17,0,0,1,0,1,8,5,0,0,1,0,8,0,0,11,0,0,0,5,0,0,1,0,0,1,1,1,0,0,8,1,0,1,0,0,0,0,1,0,4,0,2,5,0,0,0,0,8,0,9,0,17,0,0,0,0,0
2022-07-17T13,161,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,29,0,0,19,0,0,1,0,1,7,4,0,0,0,0,7,0,0,11,1,0,0,9,0,0,2,0,0,0,1,0,0,0,9,0,0,3,0,2,0,0,0,0,2,1,4,6,0,0,0,0,10,2,6,0,18,0,1,0,0,0
2022-07-17T14,170,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,25,0,0,19,0,0,5,0,1,7,6,0,0,0,0,8,0,3,0,1,0,0,16,1,0,1,0,0,0,1,0,0,0,10,0,0,2,0,1,1,0,0,0,2,0,3,7,0,0,0,1,8,2,6,1,24,0,1,0,0,0
2022-07-17T15,209,1,0,1,0,0,0,0,0,0,1,1,4,3,0,0,26,1,0,18,0,0,9,0,1,10,6,0,0,0,0,4,2,2,7,0,0,0,20,0,1,1,0,0,0,1,0,0,0,7,0,0,1,0,2,0,0,0,0,6,0,2,6,0,1,0,0,7,1,4,0,51,0,1,0,0,0
2022-07-17T16,141,1,0,1,0,0,1,0,1,0,0,2,5,2,0,0,9,1,1,19,1,0,7,0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,1,0,6,0,0,3,0,1,1,0,0,0,5,0,5,6,0,0,0,0,7,2,1,0,25,0,0,0,0,0
2022-07-17T17,170,2,0,0,0,0,0,0,1,0,0,1,9,1,0,0,4,0,0,32,1,0,6,1,1,7,5,0,0,1,0,2,0,1,0,0,0,0,6,2,0,2,0,0,0,0,1,2,0,5,0,0,0,0,1,1,0,0,0,7,0,7,13,1,0,0,0,6,2,2,0,35,0,2,0,0,0
2022-07-17T18,158,1,0,0,1,0,0,0,2,0,0,2,3,2,0,0,3,0,0,31,1,0,5,1,1,14,6,0,0,0,0,0,0,0,1,1,0,0,11,2,0,2,0,1,0,0,0,2,0,7,1,0,0,0,2,0,0,0,0,5,0,3,8,0,0,1,0,3,3,0,0,30,0,0,1,1,0
2022-07-17T19,166,2,0,1,0,0,1,0,2,0,0,6,2,3,0,0,5,1,0,36,1,0,6,0,0,5,10,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,6,0,2,7,0,0,0,0,2,3,2,0,39,0,1,0,0,0
2022-07-17T20,151,1,0,0,0,0,0,0,1,0,0,3,4,1,0,0,10,0,1,34,0,0,2,0,1,5,8,0,0,3,0,0,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,1,12,0,0,0,0,2,0,0,1,0,7,0,5,5,0,0,0,0,0,1,1,0,23,0,1,0,0,0
2022-07-17T21,130,1,0,0,0,0,0,0,2,1,0,1,5,3,0,0,7,0,0,18,1,0,1,0,0,4,14,1,0,0,0,1,0,0,0,1,0,0,14,1,0,4,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,5,0,3,7,0,0,0,0,1,0,1,0,23,0,1,0,0,0
2022-07-17T22,115,1,0,0,0,0,0,0,0,0,0,3,6,1,0,0,21,0,0,8,0,0,2,0,0,6,11,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,5,0,1,6,0,0,0,0,0,0,5,0,25,0,0,0,0,0
2022-07-17T23,115,0,0,0,1,0,0,0,0,0,0,2,14,0,0,0,22,0,0,6,0,0,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,3,1,30,0,1,0,0,0
2022-07-18T00,74,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,11,0,0,5,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,1,0,3,0,22,0,0,0,0,0
