bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BM,BR,BY,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KG,KH,KR,KZ,LT,LU,MA,MD,MK,MM,MX,MY,NA,NL,NO,NZ,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SE,SG,TH,TN,TR,TW,UA,US,VE,VN,ZA,ZW
2022-08-21T10,97,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,13,0,0,0,0,0,0,8,4,0,0,0,5,0,0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,3,0,1,6,2,0,2,6,0,19,0,0,0,0
2022-08-21T11,132,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,20,0,0,0,0,1,0,6,6,0,0,0,2,0,2,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4,0,0,6,5,0,1,9,1,42,0,0,0,0
2022-08-21T12,102,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,1,1,3,2,0,0,0,9,0,1,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,1,11,5,0,1,5,0,14,0,0,0,0
2022-08-21T13,126,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,13,1,0,0,0,1,1,6,6,0,0,0,8,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0,4,0,1,9,11,0,1,9,0,18,0,1,0,0
2022-08-21T14,172,1,0,0,1,0,2,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,20,0,0,0,0,0,1,11,9,0,0,0,31,0,2,0,0,1,0,5,0,1,0,2,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,1,0,1,1,0,4,0,0,7,13,0,0,10,0,24,0,0,0,0
2022-08-21T15,139,1,0,0,0,0,1,0,0,0,0,0,3,0,2,0,1,3,0,0,0,0,18,1,0,0,1,0,1,7,12,0,0,0,11,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,1,0,0,0,0,3,0,2,8,9,0,1,11,0,20,0,0,0,0
2022-08-21T16,163,2,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,4,0,0,0,0,27,1,0,0,1,1,1,11,12,0,0,0,2,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,1,0,4,0,1,10,8,0,1,5,0,42,0,1,0,0
2022-08-21T17,131,3,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,2,0,0,0,0,24,0,0,0,0,3,1,2,8,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,2,0,0,7,0,3,0,1,5,4,0,2,3,1,30,0,0,0,0
2022-08-21T18,151,3,0,0,1,0,0,0,0,2,0,0,2,0,5,1,0,9,0,0,0,0,34,1,0,0,0,5,2,6,9,0,0,0,3,1,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,3,0,3,0,4,6,2,0,1,2,0,25,0,0,0,0
2022-08-21T19,131,3,0,0,1,0,0,0,0,2,0,0,1,0,5,0,0,4,0,0,0,0,23,1,0,0,0,2,0,11,5,0,0,0,0,1,0,0,0,2,0,7,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,2,0,0,1,0,2,0,0,3,0,3,0,3,5,2,0,3,1,0,22,0,0,0,0
2022-08-21T20,146,3,0,0,3,0,1,0,0,2,2,1,1,0,4,1,0,4,0,0,0,0,25,0,0,0,0,3,1,8,7,0,0,0,2,0,0,0,0,1,0,15,0,0,0,2,0,0,0,1,0,0,0,0,0,0,18,1,0,0,0,0,1,0,1,4,0,3,0,2,7,1,0,2,1,0,18,0,0,0,0
2022-08-21T21,140,4,0,0,2,0,1,0,0,0,0,1,1,0,5,3,0,3,0,0,0,2,14,1,0,1,0,3,0,10,9,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,2,3,1,2,0,1,5,1,0,2,1,0,32,0,1,0,0
2022-08-21T22,121,3,0,0,0,1,1,0,0,0,0,0,2,0,4,1,0,15,2,0,0,2,9,0,0,0,0,3,1,6,2,0,0,0,1,0,0,0,0,2,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,3,0,0,7,1,1,1,1,0,27,0,1,1,0
2022-08-21T23,133,4,0,0,2,0,0,0,0,0,0,0,1,0,8,0,1,14,1,0,0,0,8,0,0,0,0,1,1,3,4,0,1,0,0,0,3,0,0,1,0,6,1,0,0,1,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,2,0,5,0,0,5,1,1,0,1,0,44,0,1,0,0
2022-08-22T00,172,4,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,14,0,0,0,0,10,0,0,0,0,1,1,4,8,0,1,0,1,0,0,0,0,2,1,3,2,0,0,1,0,0,0,0,0,0,0,1,1,0,6,0,1,1,0,0,0,0,1,3,0,4,1,0,5,1,0,0,0,0,83,0,0,0,0
2022-08-22T01,177,2,0,0,3,0,1,0,0,0,0,0,3,0,10,0,0,17,1,0,0,0,6,0,0,0,0,1,1,10,5,0,0,0,2,0,0,2,0,0,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,0,2,0,0,6,0,0,0,1,0,78,1,0,1,0
2022-08-22T02,95,3,0,0,1,0,0,0,0,0,1,0,3,0,10,0,0,13,1,0,0,0,5,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,2,0,3,0,0,6,2,0,0,0,0,29,0,0,0,0
2022-08-22T03,89,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,18,2,0,0,0,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,4,0,1,5,0,0,1,1,0,33,0,0,0,0
2022-08-22T04,96,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,6,0,1,0,0,15,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,1,0,0,0,2,0,4,0,1,7,1,0,0,1,0,29,0,0,0,0
2022-08-22T05,82,3,0,0,1,0,3,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,13,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,0,3,0,2,0,2,7,0,0,0,0,0,26,0,0,0,0
2022-08-22T06,76,3,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,6,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,2,1,2,6,5,0,0,2,0,21,0,0,0,0
2022-08-22T07,96,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,5,0,0,0,0,0,1,8,2,0,1,0,1,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,0,1,2,0,3,0,1,6,5,0,0,2,1,32,0,0,0,0
2022-08-22T08,110,3,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,8,0,0,0,0,22,1,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,1,0,4,0,2,7,3,0,0,1,0,33,0,0,0,0
2022-08-22T09,112,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,13,0,0,0,0,1,1,6,3,0,0,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,1,0,0,1,0,4,0,2,5,5,0,2,4,0,38,0,0,0,0
2022-08-22T10,92,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,11,0,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,6,2,0,0,3,0,37,0,0,0,0
2022-08-22T11,109,3,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,14,0,0,0,0,0,1,3,5,0,0,0,1,0,1,1,0,0,0,3,6,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,1,7,4,0,0,4,0,33,0,0,0,0
2022-08-22T12,126,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,13,0,0,0,0,0,1,6,6,0,0,0,4,0,1,0,0,2,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,1,0,0,2,0,0,4,0,1,7,9,0,2,9,0,26,0,0,0,0
2022-08-22T13,116,2,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,12,0,1,0,0,1,1,6,6,0,0,0,2,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,0,1,0,0,3,0,1,5,7,0,1,11,0,24,0,3,0,0
2022-08-22T14,149,2,1,0,1,0,2,0,0,0,0,0,3,0,2,0,0,8,0,0,0,0,18,0,1,0,1,3,0,8,5,0,0,0,4,0,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,1,0,0,0,0,5,0,1,6,11,0,2,14,0,28,0,2,0,0
2022-08-22T15,196,4,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,10,1,0,0,0,25,2,0,0,0,3,1,15,15,0,0,0,6,0,1,0,0,1,0,4,6,0,0,1,0,0,0,0,0,0,0,2,0,0,8,1,0,0,2,0,1,0,0,1,0,6,0,1,7,12,0,0,10,0,43,0,1,0,0
2022-08-22T16,185,3,0,1,0,1,0,0,0,1,0,0,0,0,5,0,1,9,0,0,0,0,33,1,0,0,0,2,1,15,7,0,0,2,3,0,2,2,0,1,0,10,2,0,0,1,0,0,0,0,0,0,0,2,0,0,6,1,0,0,1,0,1,0,0,0,0,3,0,7,6,7,0,1,7,0,38,0,2,0,0
2022-08-22T17,196,3,0,0,1,0,1,0,0,3,0,0,1,0,8,1,1,6,1,0,0,0,47,0,1,0,0,1,0,10,15,0,1,1,4,0,0,2,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,2,1,0,0,0,1,0,0,0,0,3,0,4,8,3,0,1,2,1,35,0,0,1,0
2022-08-22T18,176,2,0,0,1,1,0,0,1,3,0,0,2,0,9,3,0,7,1,0,0,0,40,2,0,0,1,3,1,6,13,0,0,0,3,0,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,1,0,0,3,0,4,5,4,0,1,2,1,26,0,0,0,0
2022-08-22T19,200,3,0,0,0,1,0,0,0,1,0,0,1,0,7,2,0,3,1,0,0,0,41,0,0,0,0,4,0,12,17,0,0,0,2,1,1,2,0,1,0,6,5,0,0,0,0,0,0,0,0,1,0,0,1,0,22,1,0,0,0,0,1,0,0,1,0,2,0,2,6,4,0,2,1,0,45,0,0,0,0
2022-08-22T20,168,2,0,0,6,0,1,0,0,1,0,0,0,0,6,2,0,5,0,0,0,0,30,0,0,0,0,1,1,9,12,0,1,0,2,0,0,2,0,1,0,11,6,0,0,1,0,0,0,0,0,0,0,2,1,1,12,2,0,1,0,0,0,0,1,1,0,5,0,2,6,2,0,2,2,0,28,0,0,0,0
2022-08-22T21,160,3,0,0,1,0,0,0,0,2,0,0,0,0,4,1,0,8,0,0,0,0,15,1,0,0,0,1,1,7,6,0,0,0,0,0,0,14,0,1,0,13,4,0,0,1,0,0,0,0,0,0,0,1,0,0,12,1,0,0,1,0,1,0,3,1,0,2,0,3,6,1,0,2,1,0,42,0,0,0,0
2022-08-22T22,147,2,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,16,0,0,0,0,15,0,0,0,1,1,2,5,8,0,0,0,2,0,0,0,0,1,0,4,5,0,0,0,1,0,0,0,0,1,0,1,0,0,7,1,0,0,0,0,0,0,2,3,0,5,1,1,6,0,0,1,1,0,43,0,0,0,0
2022-08-22T23,146,2,1,0,1,0,3,0,0,1,0,0,1,0,12,1,0,16,0,0,0,0,8,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,1,0,0,5,4,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,1,3,0,51,0,1,0,0
2022-08-23T00,82,1,1,0,0,0,2,0,0,1,0,0,0,0,8,0,0,10,0,0,0,0,5,0,0,0,0,1,0,4,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,2,0,26,0,0,0,0
