bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BM,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,MA,MD,MK,MM,MN,MO,MW,MX,MY,NA,NG,NI,NL,NO,NZ,PE,PG,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SK,SY,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-08-21T10,97,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,5,0,0,0,0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,6,0,0,2,0,2,6,0,0,19,0,0,0,0,0,0,0
2022-08-21T11,132,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,20,0,0,0,0,0,0,1,0,0,6,6,0,0,0,0,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,5,0,1,9,0,1,42,0,0,0,0,0,0,0
2022-08-21T12,102,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,9,0,0,0,1,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,11,0,0,5,0,1,5,0,0,14,0,0,0,0,0,0,0
2022-08-21T13,126,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,13,1,0,0,0,0,0,1,0,1,6,6,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,9,0,0,11,0,1,9,0,0,18,0,0,0,1,0,0,0
2022-08-21T14,172,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,11,9,0,0,0,0,31,0,0,0,2,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,0,7,0,0,13,0,0,10,0,0,24,0,0,0,0,0,0,0
2022-08-21T15,139,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,3,0,0,0,0,0,18,1,0,0,0,0,1,0,0,1,7,12,0,0,0,0,11,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,2,8,0,0,9,0,1,11,0,0,20,0,0,0,0,0,0,0
2022-08-21T16,163,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,4,0,0,0,0,0,27,1,0,0,0,0,1,1,0,1,11,12,0,0,0,0,2,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,1,0,4,0,0,0,1,10,0,0,8,0,1,5,0,0,42,0,0,0,1,0,0,0
2022-08-21T17,131,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,3,0,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,2,0,0,0,7,0,3,0,0,0,1,5,0,0,4,0,2,3,0,1,30,0,0,0,0,0,0,0
2022-08-21T18,151,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,5,1,0,0,9,0,0,0,0,0,34,1,0,0,0,0,0,5,0,2,6,9,0,0,0,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,4,6,0,0,2,0,1,2,0,0,25,0,0,0,0,0,0,0
2022-08-21T19,131,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,0,23,1,0,0,0,0,0,2,0,0,11,5,0,0,0,0,0,0,0,1,0,0,0,2,0,7,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2,0,0,0,1,0,2,0,0,0,3,0,3,0,0,0,3,5,0,0,2,0,3,1,0,0,22,0,0,0,0,0,0,0
2022-08-21T20,146,3,0,0,0,3,0,1,0,0,0,2,2,0,1,0,1,0,0,4,1,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,3,0,1,8,7,0,0,0,0,2,0,0,0,0,0,0,1,0,15,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,1,0,1,0,4,0,3,0,0,0,2,7,0,0,1,0,2,1,0,0,18,0,0,0,0,0,0,0
2022-08-21T21,140,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,5,3,0,0,3,0,0,0,0,2,14,1,0,0,1,0,0,3,0,0,10,9,0,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,1,5,0,0,1,0,2,1,0,0,32,0,0,0,1,0,0,0
2022-08-21T22,121,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,15,2,0,0,0,2,9,0,0,0,0,0,0,3,0,1,6,2,0,0,0,0,1,0,0,0,0,0,0,2,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,7,0,0,1,1,1,1,0,0,27,0,0,0,1,1,0,0
2022-08-21T23,133,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,14,1,0,0,0,0,8,0,0,0,0,0,0,1,0,1,3,4,0,0,1,0,0,0,0,0,3,0,0,1,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,5,0,0,1,1,0,1,0,0,44,0,0,0,1,0,0,0
2022-08-22T00,172,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,4,8,0,0,1,0,1,0,0,0,0,0,0,2,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,1,1,0,0,0,0,0,1,0,3,0,4,1,0,0,0,5,0,0,1,0,0,0,0,0,83,0,0,0,0,0,0,0
2022-08-22T01,177,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,17,1,0,0,0,0,6,0,0,0,0,0,0,1,0,1,10,5,0,0,0,0,2,0,0,0,0,2,0,0,1,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,78,0,0,1,0,1,0,0
2022-08-22T02,95,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,10,0,0,0,13,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,6,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0
2022-08-22T03,89,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,5,0,0,0,0,1,1,0,0,33,0,0,0,0,0,0,0
2022-08-22T04,96,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,0,0,0,1,0,0,0,0,2,0,4,0,0,0,1,7,0,0,1,0,0,1,0,0,29,0,0,0,0,0,0,0
2022-08-22T05,82,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,1,0,0,0,0,0,3,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2022-08-22T06,76,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,2,6,0,0,5,0,0,2,0,0,21,0,0,0,0,0,0,0
2022-08-22T07,96,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,8,2,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,2,0,3,0,0,0,1,6,0,0,5,0,0,2,0,1,32,0,0,0,0,0,0,0
2022-08-22T08,110,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,2,7,0,0,3,0,0,1,0,0,33,0,0,0,0,0,0,0
2022-08-22T09,112,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,2,5,0,0,5,0,2,4,0,0,38,0,0,0,0,0,0,0
2022-08-22T10,92,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,2,0,0,3,0,0,37,0,0,0,0,0,0,0
2022-08-22T11,109,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,6,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,4,0,0,4,0,0,33,0,0,0,0,0,0,0
2022-08-22T12,126,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,4,0,0,0,1,0,0,2,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,1,0,0,2,0,0,0,4,0,0,0,1,7,0,0,9,0,2,9,0,0,26,0,0,0,0,0,0,0
2022-08-22T13,116,2,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,12,0,1,0,0,0,0,1,0,1,6,6,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,1,0,0,1,0,0,0,3,0,0,0,1,5,0,0,7,0,1,11,0,0,24,0,0,0,3,0,0,0
2022-08-22T14,149,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,8,0,0,0,0,0,18,0,1,0,0,0,1,3,0,0,8,5,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,1,6,0,0,11,0,2,14,0,0,28,0,0,0,2,0,0,0
2022-08-22T15,196,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10,1,0,0,0,0,25,2,0,0,0,0,0,3,0,1,15,15,0,0,0,0,6,0,0,0,1,0,0,1,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,1,7,0,0,12,0,0,10,0,0,43,0,0,0,1,0,0,0
2022-08-22T16,185,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,9,0,0,0,0,0,33,1,0,0,0,0,0,2,0,1,15,7,0,0,0,2,3,0,0,0,2,2,0,1,0,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,7,6,0,0,7,0,1,7,0,0,38,0,0,0,2,0,0,0
2022-08-22T17,196,3,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,8,1,1,0,6,1,0,0,0,0,47,0,1,0,0,0,0,1,0,0,10,15,0,0,1,1,4,0,0,0,0,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,2,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,8,0,0,3,0,1,2,0,1,35,0,0,0,0,1,0,0
2022-08-22T18,176,2,0,0,0,1,1,0,0,0,1,3,0,0,0,0,2,0,0,9,3,0,0,7,1,0,0,0,0,40,2,0,0,0,0,1,3,0,1,6,13,0,0,0,0,3,0,0,0,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,4,5,0,0,4,0,1,2,0,1,26,0,0,0,0,0,0,0
2022-08-22T19,200,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7,2,0,0,3,1,0,0,0,0,41,0,0,0,0,0,0,4,0,0,12,17,0,0,0,0,2,0,0,1,1,2,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,6,0,0,4,0,2,1,0,0,45,0,0,0,0,0,0,0
2022-08-22T20,168,2,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,1,0,1,9,12,0,0,1,0,2,0,0,0,0,2,0,1,0,11,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,12,2,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,2,6,0,0,2,0,2,2,0,0,28,0,0,0,0,0,0,0
2022-08-22T21,160,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,8,0,0,0,0,0,15,1,0,0,0,0,0,1,0,1,7,6,0,0,0,0,0,0,0,0,0,14,0,1,0,13,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,0,1,0,1,0,3,0,1,0,2,0,0,0,3,6,0,0,1,0,2,1,0,0,42,0,0,0,0,0,0,0
2022-08-22T22,147,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,1,1,0,2,5,8,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,3,0,5,1,0,0,1,6,0,0,0,0,1,1,0,0,43,0,0,0,0,0,0,0
2022-08-22T23,146,2,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,12,1,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,10,0,0,0,0,1,3,0,0,51,0,0,0,1,0,0,0
2022-08-23T00,133,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,21,1,0,0,0,0,6,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,7,1,0,0,0,0,2,0,0,40,0,0,0,1,0,0,0
2022-08-23T01,104,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,7,0,0,1,0,0,2,0,0,38,0,0,0,0,0,0,0
2022-08-23T02,142,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,26,1,0,1,0,0,5,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,2,0,0,57,0,0,0,2,0,0,0
2022-08-23T03,132,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,27,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,1,0,0,0,0,3,0,0,34,0,0,0,0,0,0,0
2022-08-23T04,88,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,17,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0
2022-08-23T05,86,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2022-08-23T06,105,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,4,1,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,4,1,0,0,0,9,1,0,4,0,0,1,0,0,21,0,1,0,1,0,0,0
2022-08-23T07,96,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,2,0,0,0,0,12,0,0,0,0,0,0,1,0,0,6,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0,6,0,0,0,1,7,0,0,1,0,0,0,0,0,25,0,1,0,1,1,0,0
