bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,BS,BY,CA,CH,CL,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LT,LV,LY,MA,MD,MK,MM,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RU,RW,SE,SG,SK,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VN,ZA,ZM
2022-07-04T09,88,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,1,4,6,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,1,7,0,0,1,0,0,0,2,0,0,22,0,0,1,0,0
2022-07-04T10,119,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,0,15,0,0,0,0,0,2,0,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,3,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,4,0,0,45,0,0,0,0,0
2022-07-04T11,121,3,0,1,0,2,0,0,0,0,0,0,3,0,0,5,1,1,8,0,0,0,0,0,10,0,0,0,0,0,1,0,4,5,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,7,0,0,2,0,1,0,2,0,0,41,0,0,0,0,0
2022-07-04T12,121,1,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,16,0,0,0,0,0,1,0,6,7,0,0,0,0,6,0,0,0,1,1,1,1,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,6,0,0,1,0,1,0,12,0,0,21,0,0,0,0,0
2022-07-04T13,126,1,0,0,0,1,0,0,0,0,1,0,2,0,0,7,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,6,0,0,2,0,0,0,17,0,0,33,0,0,1,0,0
2022-07-04T14,149,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,1,0,4,0,0,0,0,0,23,0,0,0,0,0,3,0,3,3,0,0,2,0,8,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,0,0,0,1,1,2,0,0,0,0,0,4,0,1,6,0,0,6,0,1,1,12,0,3,38,0,0,0,0,0
2022-07-04T15,135,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0,0,0,0,23,2,0,0,0,0,2,0,6,9,0,0,0,0,2,0,0,0,0,0,0,3,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,0,1,0,1,0,0,0,5,0,0,8,0,0,4,0,1,1,8,0,0,26,0,0,0,0,0
2022-07-04T16,129,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,5,0,0,0,0,0,24,0,0,0,0,0,4,0,8,5,0,0,0,0,6,0,0,0,0,1,0,2,0,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,4,1,2,7,0,0,2,0,0,2,6,0,0,25,0,0,0,0,0
2022-07-04T17,178,2,1,1,1,0,0,0,0,1,0,0,1,0,0,11,2,0,7,1,0,0,0,0,36,0,0,0,0,0,4,0,6,9,0,0,0,0,4,0,0,0,1,2,0,1,0,12,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,4,9,0,0,3,0,0,0,7,0,0,24,0,0,0,0,0
2022-07-04T18,227,3,1,1,1,0,0,0,0,2,0,0,2,0,0,12,1,1,9,1,0,0,0,0,56,1,0,0,0,0,4,0,5,19,0,0,0,0,1,1,0,0,0,3,1,2,0,5,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,1,7,0,0,6,0,1,0,2,0,0,32,1,0,0,0,0
2022-07-04T19,166,1,0,0,1,0,0,0,0,4,0,0,1,0,0,9,1,1,3,0,0,0,0,0,38,0,0,0,0,0,4,0,3,21,0,0,0,0,1,0,0,0,0,1,1,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,1,4,0,2,0,2,0,0,20,0,0,0,0,0
2022-07-04T20,182,2,1,1,2,0,0,0,0,1,0,0,4,0,0,6,1,3,2,0,0,0,0,0,35,0,0,0,0,0,2,1,9,21,0,0,1,0,1,0,0,0,0,0,0,0,0,21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,2,5,0,0,3,0,3,0,1,0,0,26,0,0,1,0,0
2022-07-04T21,131,2,0,1,0,0,0,0,0,0,0,0,4,0,0,6,2,3,2,0,0,0,0,0,18,0,0,0,0,0,3,0,7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,7,0,0,1,0,1,0,1,0,0,21,0,0,0,0,0
2022-07-04T22,100,1,0,0,0,0,0,0,0,1,0,1,2,0,0,6,1,1,9,0,0,0,0,0,15,0,0,0,0,0,2,0,3,9,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,6,0,0,0,0,1,0,3,0,0,14,0,0,0,0,0
2022-07-04T23,86,1,0,0,1,0,0,0,0,1,0,1,4,0,0,11,0,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,0,9,0,0,0,0,0,0,1,0,0,17,0,0,2,0,0
2022-07-05T00,98,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,1,3,8,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,8,0,1,0,0,0,0,4,0,0,29,0,1,0,0,0
2022-07-05T01,86,1,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,8,0,0,0,0,0,0,3,0,0,33,0,1,0,0,0
2022-07-05T02,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,8,0,0,24,0,0,0,0,0
2022-07-05T03,98,2,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,10,1,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,8,0,0,36,0,0,2,0,0
2022-07-05T04,54,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,1,0,0,15,0,0,1,0,0
2022-07-05T05,73,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,5,0,0,21,0,0,2,0,0
2022-07-05T06,68,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,9,0,0,20,0,0,0,0,0
2022-07-05T07,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,2,0,1,0,6,0,0,19,0,0,0,1,0
2022-07-05T08,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,0,0,2,0,0,0,3,0,1,10,0,0,0,0,0
2022-07-05T09,71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,1,4,0,2,6,0,0,1,0,1,0,5,0,0,19,0,0,0,0,0
2022-07-05T10,87,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,7,0,0,2,0,0,0,3,0,0,18,0,0,0,0,0
2022-07-05T11,89,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,4,1,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,1,9,0,0,1,0,3,0,6,0,1,16,0,0,1,0,0
2022-07-05T12,96,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,4,0,0,0,0,0,12,0,0,0,0,0,0,0,8,4,0,0,0,0,11,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,1,6,0,0,3,0,0,0,10,0,0,14,0,0,0,0,0
2022-07-05T13,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,0,0,0,20,0,0,0,0,0,1,0,5,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,1,8,0,0,4,0,0,0,15,0,0,16,0,0,0,0,0
