bucket,total,--,AO,AR,AT,AU,BA,BD,BE,BG,BN,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IN,IQ,IT,JP,KH,KR,LK,MD,MN,MO,MX,MY,NL,NO,NZ,PE,PH,PL,PT,PY,QA,RO,RU,RW,SE,SG,SI,TH,TR,TW,UA,US,VN,ZA
2024-08-25T10,91,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,4,0,0,14,0,0,0,0,5,4,0,0,1,0,1,0,0,0,3,2,0,0,0,1,0,0,0,0,5,0,1,0,2,1,1,0,0,0,1,0,2,7,0,3,0,1,0,25,1,0
2024-08-25T11,87,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,9,0,0,0,0,5,7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,1,2,0,0,0,0,1,0,3,6,0,8,0,0,0,23,0,0
2024-08-25T12,127,1,1,0,0,0,0,0,0,1,0,6,1,0,0,0,7,0,0,25,0,0,0,0,8,5,0,4,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,1,3,0,2,9,0,4,0,0,0,30,1,0
2024-08-25T13,116,1,1,0,0,1,0,0,2,0,0,1,4,2,0,0,6,0,0,13,0,0,0,0,7,6,0,1,0,0,0,0,0,0,7,2,0,1,0,0,1,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,9,1,4,1,3,0,31,1,0
2024-08-25T14,117,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,6,0,0,14,0,0,1,1,12,9,0,1,0,0,0,0,1,0,7,0,0,2,0,0,0,0,1,0,9,1,0,0,2,2,0,0,0,1,1,1,1,8,0,5,1,1,1,23,0,0
2024-08-25T15,151,0,0,0,0,1,0,0,2,1,0,1,4,2,0,0,8,1,0,19,0,0,1,2,18,8,1,1,0,0,0,0,1,0,12,1,0,0,0,0,0,0,1,0,8,0,0,0,1,2,0,1,0,1,0,0,0,8,0,9,2,0,0,34,0,0
2024-08-25T16,176,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,22,1,0,22,0,0,1,1,17,10,1,0,0,0,1,0,1,0,13,2,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,1,0,2,3,0,6,8,0,12,2,1,0,28,0,1
2024-08-25T17,179,0,0,0,1,0,0,0,2,2,0,0,2,1,0,0,21,0,0,24,0,0,4,1,16,10,0,4,0,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,1,0,0,3,7,0,12,0,0,1,38,0,1
2024-08-25T18,179,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,18,0,0,25,1,0,3,0,11,12,1,1,0,0,0,1,0,0,9,0,0,0,0,0,0,1,2,0,15,1,0,0,0,2,1,0,0,3,0,0,3,10,0,10,1,0,0,39,0,0
2024-08-25T19,172,1,0,1,0,0,0,0,1,2,0,0,8,2,0,0,16,0,0,26,1,0,5,0,12,14,1,0,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,12,1,0,0,0,2,2,0,1,3,2,0,1,7,1,10,0,1,0,28,0,1
2024-08-25T20,147,1,0,1,0,0,0,0,0,2,0,0,3,2,0,0,16,0,0,21,0,0,1,0,12,10,0,1,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,16,1,0,0,0,3,2,0,0,2,0,0,3,7,0,1,1,1,1,26,0,0
2024-08-25T21,144,3,0,1,0,0,0,0,1,0,0,0,7,2,0,0,14,0,0,19,0,0,1,0,6,11,0,1,1,0,0,0,1,0,15,2,0,0,0,0,0,1,0,0,7,0,2,0,1,0,1,0,0,2,2,0,2,7,0,1,1,0,0,32,0,0
2024-08-25T22,108,1,0,2,0,0,0,0,0,1,0,0,5,2,0,0,3,0,0,10,0,0,1,0,2,13,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,1,0,1,7,0,3,0,0,0,38,0,1
2024-08-25T23,107,2,0,1,0,0,0,0,0,1,0,1,11,0,1,0,5,0,0,7,0,0,0,0,0,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,2,0,7,0,3,0,0,0,48,1,0
2024-08-26T00,66,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,4,0,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0,25,0,0
