bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,EC,EE,ES,FI,FR,GB,GR,HK,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LT,LV,ME,MK,MM,MN,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PL,PT,RO,RU,RW,SA,SE,SG,SN,SO,TH,TN,TR,TW,TZ,UA,US,VN,ZA
2024-06-30T10,87,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,4,0,0,0,8,0,0,1,0,3,9,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,1,1,1,0,4,0,1,3,6,0,0,8,0,0,0,0,0,15,0,0
2024-06-30T11,82,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,7,0,0,0,16,0,0,2,0,3,5,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,1,0,0,0,5,0,0,4,0,3,0,0,0,15,0,1
2024-06-30T12,103,0,0,0,0,1,0,1,0,0,1,1,2,2,0,0,0,9,0,0,0,15,0,0,1,0,10,5,0,2,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,3,0,0,1,0,0,2,8,0,0,7,0,0,3,0,0,16,1,0
2024-06-30T13,140,1,0,0,0,0,0,1,0,0,1,2,2,1,0,0,0,10,0,1,0,18,0,0,0,0,15,5,0,6,0,0,0,1,0,0,4,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,6,1,0,0,1,1,1,0,0,3,0,0,1,9,0,0,11,0,0,2,0,0,26,1,0
2024-06-30T14,136,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,0,6,0,1,0,19,0,0,0,0,10,8,0,2,1,0,0,1,0,0,8,3,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,5,1,0,0,0,2,0,1,3,1,0,0,0,7,0,0,14,0,0,2,0,0,26,0,0
2024-06-30T15,123,1,1,1,0,1,0,0,1,0,0,2,3,1,0,0,0,9,0,0,0,19,0,0,1,0,11,6,0,1,1,0,0,1,0,1,5,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0,1,3,0,0,0,6,0,0,12,0,0,2,0,0,22,0,0
2024-06-30T16,133,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,15,0,0,0,19,0,0,2,0,8,7,0,2,0,0,0,0,0,0,14,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,6,0,0,1,0,1,0,0,1,2,0,0,0,5,0,0,15,0,0,0,0,0,22,0,0
2024-06-30T17,142,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,21,0,0,0,20,0,0,2,0,4,5,0,1,0,0,0,0,0,0,12,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,2,3,1,0,1,8,0,0,9,0,1,0,0,1,32,0,0
2024-06-30T18,182,0,0,1,1,0,0,0,2,0,0,2,2,0,0,0,0,29,1,0,0,29,0,0,5,0,4,9,0,3,1,0,0,1,0,0,11,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,1,0,0,1,1,0,7,0,0,7,0,3,0,0,1,40,1,0
2024-06-30T19,130,0,0,0,0,1,0,0,1,0,0,1,6,1,0,0,0,18,0,0,0,19,0,0,1,1,3,8,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,0,0,0,0,3,5,0,0,5,0,2,0,0,0,25,0,0
2024-06-30T20,145,0,0,1,2,1,0,0,0,0,0,3,3,1,0,0,1,17,0,0,1,15,2,0,0,0,4,10,0,0,0,0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,1,0,0,0,3,0,0,1,0,0,1,6,0,0,4,1,2,0,0,0,36,0,0
2024-06-30T21,130,0,0,0,0,0,0,1,2,0,0,2,1,1,0,0,0,16,0,0,0,14,2,1,1,0,2,6,1,1,0,1,0,1,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,1,1,0,0,1,7,0,0,5,1,2,0,0,0,35,0,0
2024-06-30T22,107,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,7,0,0,0,10,2,0,1,0,3,10,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,42,0,0
2024-06-30T23,85,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,7,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,36,1,0
2024-07-01T00,84,0,0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,9,0,0,0,3,0,0,1,0,1,4,0,1,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,33,0,0
2024-07-01T01,92,0,0,0,0,2,0,0,0,1,0,3,4,0,0,0,0,10,0,0,0,2,0,0,1,0,1,5,0,1,0,0,0,2,0,0,1,7,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,37,0,0
2024-07-01T02,67,0,0,0,0,1,0,0,0,2,0,1,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,25,0,0
2024-07-01T03,77,1,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,12,0,0,0,2,0,0,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,33,0,1
2024-07-01T04,80,2,0,0,1,2,0,1,0,0,0,4,4,0,0,0,2,11,0,0,0,2,0,0,0,0,4,3,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,26,0,0
2024-07-01T05,80,1,0,0,0,1,0,1,1,1,0,0,6,1,0,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,6,0,0,0,0,1,1,0,0,31,1,0
2024-07-01T06,79,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,4,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,43,0,0
2024-07-01T07,116,1,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,30,0,0,0,5,0,0,1,0,2,3,0,2,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,1,1,0,0,0,6,0,0,3,0,0,0,0,0,34,3,1
2024-07-01T08,106,0,0,2,0,2,0,1,0,0,0,1,3,0,1,0,0,10,0,0,0,13,0,0,0,0,3,4,0,1,0,0,0,5,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,0,1,1,0,0,0,7,0,0,2,0,0,0,0,0,30,0,0
2024-07-01T09,104,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,13,0,0,0,10,0,0,0,0,3,5,0,0,1,0,0,3,1,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,3,0,2,2,0,1,2,0,0,0,9,0,0,2,0,0,1,0,0,26,0,0
2024-07-01T10,111,1,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,19,0,0,0,13,0,0,1,0,4,5,0,2,0,0,0,2,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,2,1,0,0,3,0,0,1,6,0,0,0,0,0,1,0,0,26,0,0
2024-07-01T11,99,0,0,1,0,3,0,1,0,0,0,1,2,0,0,0,0,16,0,0,0,8,0,0,5,0,2,4,0,1,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,0,1,1,0,0,1,5,0,0,2,0,1,3,0,0,26,0,0
2024-07-01T12,107,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,22,0,0,0,10,0,0,1,0,4,9,0,1,0,1,1,1,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,5,0,1,0,1,0,26,0,0
2024-07-01T13,102,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,21,1,0,0,7,0,0,0,0,6,9,0,1,1,0,0,1,0,0,2,4,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,6,0,0,4,0,0,1,1,0,21,0,0
2024-07-01T14,151,1,1,0,0,0,0,1,1,1,0,2,2,0,0,0,0,19,0,0,0,15,0,0,4,2,5,9,0,3,0,0,0,3,1,0,4,3,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,10,0,0,3,0,0,35,1,1
2024-07-01T15,164,0,0,0,1,1,0,1,0,1,0,2,1,0,0,0,0,22,0,0,0,21,0,0,1,0,9,11,0,1,0,0,0,0,1,0,10,9,0,0,4,1,0,1,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,1,1,0,1,4,0,0,0,6,1,0,11,0,0,1,0,0,29,3,0
2024-07-01T16,147,1,1,1,1,1,0,1,0,0,0,1,5,0,0,0,0,9,0,0,0,14,0,0,2,0,13,9,0,0,0,0,0,0,0,1,12,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,1,0,0,1,0,0,1,5,1,0,9,0,0,1,0,0,32,1,0
2024-07-01T17,145,1,0,1,1,1,1,1,1,1,0,2,8,0,0,0,0,8,0,0,0,28,0,0,3,0,6,10,1,0,0,0,0,0,0,0,8,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,1,0,0,0,0,0,0,2,7,0,0,5,0,0,0,0,0,34,0,0
2024-07-01T18,177,1,0,1,1,0,1,1,2,2,0,0,8,0,0,0,0,9,0,0,0,30,0,0,2,0,10,19,0,1,0,0,0,1,0,0,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,1,2,0,0,3,6,0,0,5,0,3,0,0,0,36,0,0
2024-07-01T19,191,0,0,1,0,1,0,1,2,2,0,1,7,1,0,0,0,14,0,0,0,31,0,0,3,0,14,20,0,0,0,0,0,1,0,0,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,0,0,0,0,2,0,1,1,0,0,2,5,0,0,4,0,3,0,0,0,39,0,0
2024-07-01T20,157,1,0,1,0,1,0,1,0,2,0,0,3,0,0,0,0,8,0,0,0,27,1,0,1,0,9,18,0,2,0,0,0,1,0,0,18,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,1,0,0,2,0,0,2,5,0,0,0,0,5,0,0,0,30,0,1
2024-07-01T21,176,1,0,0,0,1,0,1,1,0,0,1,6,1,0,0,0,26,1,0,0,12,0,0,1,0,9,17,0,0,1,0,0,2,1,0,24,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,1,0,0,1,10,0,0,3,0,1,0,0,1,33,3,0
2024-07-01T22,166,4,0,1,0,1,0,1,0,1,0,2,5,0,0,0,0,37,1,0,0,9,0,0,1,0,3,14,1,1,0,0,0,2,0,0,4,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,10,0,0,1,0,0,0,1,1,44,3,0
2024-07-01T23,136,1,0,2,0,1,0,1,0,2,0,2,4,0,0,0,0,21,0,0,0,8,0,0,1,0,2,11,0,0,0,0,0,0,1,0,3,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,6,1,0,1,0,0,0,0,0,3,0,0,0,7,0,0,2,0,1,0,2,0,44,0,0
2024-07-02T00,66,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,1,11,0,0,0,2,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,25,0,1
