bucket,total,--,AE,AO,AR,AT,AU,BA,BD,BE,BG,BN,BR,BZ,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LV,MD,ME,MK,MM,MN,MO,MX,MY,NG,NL,NO,NP,NZ,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SK,SY,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2024-05-19T10,117,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,0,11,0,0,0,16,0,0,0,2,0,0,8,5,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,6,0,0,7,0,0,4,0,27,0,0,0,0,0
2024-05-19T11,104,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,11,0,0,0,15,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,1,0,1,0,1,0,3,0,1,0,0,0,6,0,0,9,0,0,3,0,20,0,0,0,0,0
2024-05-19T12,113,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,20,0,0,0,1,0,0,10,5,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,10,0,1,2,0,18,0,0,0,1,0
2024-05-19T13,127,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,28,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,6,0,0,10,0,0,4,0,26,0,0,0,0,0
2024-05-19T14,155,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,17,0,0,0,0,0,0,11,8,0,0,4,0,0,0,1,0,0,0,0,12,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,4,0,0,0,3,0,0,0,0,1,6,0,0,9,0,1,8,0,26,0,0,0,0,0
2024-05-19T15,189,1,0,0,0,0,2,0,0,2,1,0,1,0,4,0,0,0,27,0,0,0,31,0,0,0,1,0,0,14,9,0,0,2,0,0,0,0,0,0,0,0,14,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,1,0,2,0,0,0,4,0,0,0,0,0,6,0,0,17,0,1,4,0,25,0,0,0,0,1
2024-05-19T16,179,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,9,0,0,0,26,0,1,0,3,0,1,15,7,0,0,1,0,0,0,0,0,1,1,0,23,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,5,0,0,1,0,1,6,0,0,31,0,1,4,0,20,0,0,0,0,0
2024-05-19T17,174,3,0,0,0,1,1,0,0,1,1,0,0,1,3,1,0,0,7,0,0,0,26,0,1,0,4,0,1,15,5,0,0,0,0,0,0,1,1,2,0,0,17,6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,1,1,0,3,0,1,0,3,0,0,0,0,2,6,0,0,13,0,0,2,0,32,0,0,0,0,0
2024-05-19T18,144,1,0,0,0,0,1,1,0,2,0,0,1,0,3,1,0,0,4,0,0,0,21,0,0,0,5,0,0,11,6,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,1,0,1,1,0,1,0,1,0,2,0,0,0,0,1,6,0,0,17,0,3,1,1,27,0,0,0,0,0
2024-05-19T19,171,2,0,0,0,0,1,1,0,0,0,0,1,0,4,1,0,0,7,0,0,0,29,1,0,0,4,0,0,15,9,0,0,3,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,4,0,1,0,4,0,1,0,0,3,6,0,0,10,0,1,0,0,33,0,0,0,2,0
2024-05-19T20,120,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,3,0,0,0,20,0,0,0,4,0,0,12,8,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,7,0,0,6,0,1,0,0,24,0,0,0,0,0
2024-05-19T21,135,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,15,0,0,0,21,0,0,0,2,0,0,7,9,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,6,0,0,3,0,2,0,0,32,0,0,0,0,0
2024-05-19T22,123,0,0,0,0,0,1,0,1,0,2,0,0,0,4,2,0,0,24,0,0,0,16,0,0,0,2,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,2,0,1,0,0,29,0,0,0,1,0
2024-05-19T23,107,1,0,0,0,0,3,0,1,0,0,0,3,0,7,0,0,0,5,0,0,0,12,0,0,0,2,0,0,8,6,0,0,1,0,0,1,0,0,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,6,0,0,2,0,1,0,0,31,0,0,0,0,0
2024-05-20T00,77,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,8,0,0,0,1,0,0,9,5,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,2,0,1,0,0,23,0,0,0,0,0
2024-05-20T01,73,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,7,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,37,0,0,0,0,0
2024-05-20T02,84,2,0,0,0,0,1,0,0,0,1,0,0,0,14,0,1,0,5,0,0,0,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,0,2,0,1,0,0,33,0,0,0,0,0
2024-05-20T03,84,0,0,0,0,0,2,0,1,0,2,0,1,0,5,0,0,0,7,1,0,0,6,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,3,0,0,0,0,26,0,0,0,2,0
2024-05-20T04,90,0,0,0,0,0,2,0,2,0,1,0,1,0,5,0,0,0,7,1,0,0,5,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,2,0,0,1,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,1,0,32,0,0,0,2,0
2024-05-20T05,63,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,4,0,0,0,6,0,0,0,1,0,0,4,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,2,0,0,1,0,17,0,0,0,1,0
2024-05-20T06,80,1,0,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,5,4,0,0,2,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,3,0,27,0,0,0,0,0
2024-05-20T07,71,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,10,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,0,17,0,0,0,0,0
2024-05-20T08,89,1,0,0,1,0,1,0,2,0,0,0,0,0,2,0,1,0,6,0,0,0,8,0,0,0,2,0,0,6,4,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,8,0,0,2,0,0,0,0,26,0,0,0,1,0
2024-05-20T09,117,1,0,0,1,0,1,0,2,1,2,0,1,0,1,1,1,0,5,0,0,0,14,0,0,0,1,0,0,8,7,0,0,4,0,0,0,0,0,1,0,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,8,0,0,5,0,0,3,0,22,0,0,0,2,0
2024-05-20T10,101,1,0,0,0,0,1,0,2,3,1,0,0,0,5,0,1,0,12,0,0,0,14,0,0,0,2,0,0,7,4,0,0,1,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,3,0,1,0,0,17,0,0,0,1,0
2024-05-20T11,108,2,0,0,0,1,2,0,1,1,0,0,0,0,0,2,0,0,13,0,0,0,18,0,0,0,2,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,6,0,0,3,0,1,6,0,22,0,0,0,0,0
2024-05-20T12,126,1,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,17,0,0,0,14,0,0,0,1,0,0,14,11,0,0,1,0,0,1,0,0,0,0,0,5,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,2,0,0,0,2,0,0,1,0,1,6,0,0,4,0,0,2,0,22,0,0,0,0,0
2024-05-20T13,133,2,0,0,0,0,2,0,1,2,0,0,1,0,1,1,0,0,17,0,0,0,16,0,0,0,1,0,0,11,4,0,0,1,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,6,0,0,14,0,1,5,0,18,0,0,0,0,0
2024-05-20T14,137,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,18,0,0,0,16,0,0,0,0,0,1,18,6,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,6,0,0,17,0,1,1,0,18,0,0,0,0,0
2024-05-20T15,153,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,0,15,0,0,0,15,0,0,0,2,0,0,25,6,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,6,0,0,26,0,0,3,0,18,0,0,0,0,0
2024-05-20T16,165,1,0,0,0,1,1,0,1,0,1,0,1,0,2,4,0,0,5,0,0,0,28,2,0,0,3,0,0,32,6,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,6,0,0,15,0,0,0,0,19,0,0,0,0,0
2024-05-20T17,163,2,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,8,0,0,2,30,0,0,0,7,0,1,23,11,0,1,2,0,0,0,2,0,0,0,0,14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,6,0,0,12,0,0,0,0,19,0,0,0,0,0
2024-05-20T18,179,0,0,0,0,1,2,0,1,1,0,0,0,0,4,3,0,0,5,0,0,1,32,0,0,0,7,0,0,15,9,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,4,0,1,0,2,0,5,0,0,3,9,0,0,7,0,0,1,0,29,0,0,0,0,1
2024-05-20T19,149,1,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,4,0,0,0,26,0,0,0,5,0,1,12,11,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,17,1,0,0,0,0,2,0,0,0,5,0,3,0,1,1,8,0,0,3,0,0,0,0,23,0,0,0,0,0
2024-05-20T20,136,1,0,0,0,0,1,0,1,1,0,0,0,0,3,2,0,0,3,0,0,2,18,0,0,1,2,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,0,0,0,2,0,3,0,0,0,6,0,0,3,0,1,0,0,23,0,0,0,0,0
2024-05-20T21,116,1,0,0,0,0,1,0,1,0,1,0,2,0,5,2,0,0,5,0,1,0,16,0,0,0,2,0,0,6,9,0,0,1,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,1,0,2,0,1,0,0,20,0,1,0,0,0
2024-05-20T22,106,0,0,0,1,0,1,0,1,0,3,0,0,0,3,2,0,0,17,0,0,0,12,0,0,0,1,0,0,2,12,0,0,1,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,6,0,0,1,0,0,0,0,19,0,0,0,0,0
2024-05-20T23,126,3,0,0,4,0,1,0,1,1,0,0,1,0,9,1,0,0,15,0,0,0,10,0,0,1,1,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,3,1,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,8,0,0,2,0,0,0,0,42,0,0,0,0,0
2024-05-21T00,82,1,0,0,1,0,4,0,1,0,0,0,0,0,4,0,1,0,12,0,0,0,9,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,31,0,0,0,0,0
2024-05-21T01,85,1,0,0,1,0,2,0,1,1,1,0,0,0,9,0,1,0,13,0,0,0,5,0,0,0,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,29,0,0,0,0,0
2024-05-21T02,87,4,0,0,0,0,1,0,1,1,0,0,1,0,4,0,0,0,17,0,0,0,7,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,28,0,0,1,0,0
2024-05-21T03,82,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,18,0,0,0,7,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,25,0,0,0,0,0
2024-05-21T04,81,0,0,0,0,0,1,0,1,0,1,0,1,0,5,0,0,0,13,0,0,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,23,0,0,0,0,1
2024-05-21T05,75,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,6,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,25,0,0,1,0,0
2024-05-21T06,82,0,0,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,17,0,0,0,7,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,29,0,0,0,0,0
2024-05-21T07,95,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,1,0,2,0,0,0,2,0,1,0,0,0,7,0,0,1,1,0,1,0,22,0,0,0,1,0
2024-05-21T08,92,1,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,8,1,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,1,0,2,0,0,0,2,0,1,0,0,1,7,0,0,3,0,1,1,0,17,0,0,0,0,0
2024-05-21T09,120,1,0,0,0,0,3,0,1,0,2,0,1,0,5,0,0,0,16,0,0,0,10,0,0,0,2,1,0,6,7,0,0,2,0,0,0,1,0,2,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,0,24,0,0,0,1,0
2024-05-21T10,83,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,8,0,0,0,10,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,2,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,3,0,0,1,0,14,0,0,0,0,0
2024-05-21T11,93,2,0,0,0,0,2,0,1,1,0,0,0,0,3,0,1,0,7,0,0,0,11,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,8,0,0,4,0,1,1,0,18,0,0,0,0,0
2024-05-21T12,102,1,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,8,0,0,1,8,0,0,0,0,0,0,4,7,0,0,2,0,0,0,0,0,1,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,7,0,0,10,0,1,1,0,19,0,0,0,1,0
2024-05-21T13,106,3,0,0,0,0,2,0,1,4,0,0,1,0,1,0,0,0,12,0,0,0,13,0,0,0,0,0,0,8,6,0,0,1,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,1,1,0,0,0,0,4,0,0,0,0,2,6,0,0,7,0,0,0,0,15,0,0,0,1,0
2024-05-21T14,136,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,6,0,0,0,21,0,0,0,3,0,1,16,7,0,0,1,0,0,1,1,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,0,2,0,2,0,0,0,2,0,1,0,0,0,6,0,0,12,0,0,5,0,21,0,0,0,0,0
2024-05-21T15,140,1,0,0,0,0,1,0,1,2,0,0,0,0,3,1,0,1,8,0,0,1,24,0,0,0,3,0,3,15,4,0,0,3,0,0,0,0,0,1,0,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,6,0,0,12,0,0,1,1,19,0,0,0,0,0
2024-05-21T16,183,1,0,0,0,0,1,0,1,0,1,0,1,0,2,1,0,0,12,0,0,1,35,0,0,1,5,0,4,17,9,0,0,2,0,0,1,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,1,0,2,0,1,0,1,0,1,5,6,0,0,20,0,0,1,0,24,0,0,0,0,0
2024-05-21T17,216,1,0,0,1,0,1,1,1,1,1,0,1,0,4,2,0,0,18,0,0,2,56,0,0,1,4,0,0,16,10,0,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,1,0,1,1,0,0,0,0,0,1,0,6,1,0,3,7,0,0,15,0,0,1,0,23,0,0,0,0,0
2024-05-21T18,199,1,0,0,0,0,1,1,1,2,0,0,0,0,1,7,0,0,16,0,0,0,44,0,0,0,3,0,0,12,11,0,0,0,0,0,0,1,0,0,0,0,14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,4,0,1,0,2,0,3,0,0,2,7,0,0,16,0,0,0,1,27,0,0,0,0,0
2024-05-21T19,166,0,0,0,0,0,1,0,1,2,0,0,0,0,5,3,0,0,18,0,0,0,34,0,0,0,2,0,0,9,8,0,0,1,0,0,0,1,0,0,0,0,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,12,0,1,0,1,20,0,0,0,0,0
2024-05-21T20,147,0,0,0,0,0,1,0,1,2,0,0,0,0,4,2,0,0,11,0,0,0,25,0,0,0,4,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,7,0,0,7,0,1,0,0,28,0,0,1,0,0
2024-05-21T21,132,1,0,0,0,0,1,0,1,1,0,0,0,0,3,2,0,0,19,0,0,0,15,0,0,0,3,0,0,5,9,0,0,1,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,5,0,1,0,0,28,0,0,0,0,0
2024-05-21T22,98,1,0,0,0,0,1,0,1,0,1,0,0,0,2,2,0,0,13,0,0,0,10,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,1,0,1,0,0,33,0,0,0,0,0
