bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BR,BT,CA,CH,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MT,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SI,SK,SV,TG,TH,TR,TW,UA,US,VE,VN,ZA,ZW
2024-06-03T11,119,1,0,0,0,1,1,0,1,0,0,0,1,0,4,0,0,0,17,0,0,0,0,8,0,1,0,0,0,0,0,7,6,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,3,0,0,0,0,1,0,2,7,0,0,0,0,4,1,3,0,20,0,0,1,0
2024-06-03T12,180,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,7,8,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,5,0,0,0,0,13,1,2,0,102,0,0,1,0
2024-06-03T13,114,1,0,0,0,2,0,0,0,0,1,0,1,0,4,1,0,0,22,0,0,0,0,10,0,0,0,0,0,0,0,7,10,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,5,0,0,0,0,10,0,1,0,24,0,0,0,0
2024-06-03T14,138,1,0,0,0,1,0,0,0,0,1,0,2,0,5,1,0,0,15,0,0,0,0,14,0,0,0,0,0,1,0,12,11,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,1,0,0,0,1,3,0,3,5,0,1,0,0,11,0,6,0,26,0,0,1,1
2024-06-03T15,146,1,0,0,2,1,0,0,0,0,1,0,0,0,6,0,0,0,17,0,0,0,0,17,0,0,0,0,0,1,0,16,12,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,0,8,0,21,0,0,0,0
2024-06-03T16,149,1,0,0,0,1,0,1,0,0,1,0,1,0,5,1,0,0,5,0,0,0,0,20,0,0,0,0,0,3,0,12,12,0,0,0,0,2,0,0,1,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,1,0,0,7,0,0,0,0,20,1,6,0,25,0,1,1,0
2024-06-03T17,165,2,0,0,0,1,0,1,0,0,0,0,2,0,7,0,0,0,2,0,0,0,0,23,2,0,0,0,0,4,0,10,13,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,2,0,0,0,2,0,2,0,0,0,2,1,0,7,6,0,0,0,0,15,1,2,0,29,0,0,1,0
2024-06-03T18,189,1,0,0,1,1,0,2,0,1,1,0,1,0,3,3,1,1,3,0,0,0,0,35,0,0,0,0,0,5,0,7,20,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,1,0,2,1,0,0,3,1,0,1,5,0,0,0,0,14,2,2,0,30,0,0,1,0
2024-06-03T19,140,3,0,1,0,1,0,1,0,2,1,0,0,0,6,3,0,0,4,0,0,0,0,23,0,0,0,0,0,2,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,2,6,0,0,0,0,5,2,2,0,25,0,0,0,0
2024-06-03T20,140,1,0,0,0,1,0,0,0,0,1,0,0,0,6,2,0,0,8,0,0,0,0,15,0,0,0,0,0,2,0,5,9,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,1,1,2,6,0,0,0,0,5,4,0,0,33,0,0,0,0
2024-06-03T21,142,1,0,3,0,1,0,0,1,0,0,0,0,0,4,1,2,0,9,0,0,0,0,20,0,0,0,0,0,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,1,0,0,0,1,0,2,5,0,0,0,0,7,2,1,1,26,0,0,0,0
2024-06-03T22,122,1,0,1,0,1,0,0,0,0,1,0,1,0,4,1,2,1,10,0,0,0,0,16,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,2,0,0,28,0,0,1,0
2024-06-03T23,99,0,0,0,0,1,0,0,0,0,0,0,4,0,6,1,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,30,0,1,0,0
2024-06-04T00,94,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,14,0,0,0,0,6,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,46,0,0,0,0
2024-06-04T01,93,1,0,0,0,2,0,0,0,0,0,0,5,0,8,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,37,0,0,0,0
2024-06-04T02,131,2,0,0,1,2,0,0,0,0,0,0,4,0,10,0,0,0,17,0,0,0,0,7,0,0,1,0,0,0,0,2,3,0,0,1,0,4,0,1,1,1,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,53,0,0,0,0
2024-06-04T03,75,0,0,0,0,1,0,0,0,0,3,0,0,0,6,0,1,0,12,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,30,0,0,0,0
2024-06-04T04,72,1,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,27,0,0,1,0
2024-06-04T05,90,1,0,1,0,1,0,0,1,0,0,0,2,0,4,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,29,0,1,0,0
2024-06-04T06,76,1,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,8,0,0,0,0,0,0,1,0,21,1,2,0,0
2024-06-04T07,64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,0,1,1,0,0,6,0,0,0,0,3,0,1,0,27,0,0,0,0
2024-06-04T08,70,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,7,0,0,0,0,0,1,1,0,16,0,0,0,0
2024-06-04T09,95,0,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,1,12,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,28,0,0,0,0
2024-06-04T10,105,2,0,1,0,5,0,0,0,0,1,0,1,1,2,1,0,0,17,0,0,0,0,8,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,1,1,0,5,0,0,0,0,6,0,0,0,32,0,0,0,0
2024-06-04T11,104,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,15,0,1,0,1,6,0,0,0,0,0,1,0,6,4,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,1,2,0,5,0,0,0,0,1,0,1,5,0,0,0,0,10,0,0,1,22,0,0,0,0
2024-06-04T12,124,0,0,1,1,3,0,0,0,0,1,0,0,1,1,0,0,0,14,0,1,0,1,8,0,0,0,0,1,1,0,6,7,0,0,0,0,2,0,0,1,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,1,1,0,1,0,0,0,0,3,0,1,7,0,0,0,0,11,0,2,0,26,0,1,0,0
2024-06-04T13,121,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,16,0,0,0,0,10,0,0,0,0,0,3,0,7,4,0,0,0,0,4,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,2,2,0,0,6,0,0,0,0,10,0,4,0,30,0,0,0,0
2024-06-04T14,158,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,23,1,0,0,0,16,2,0,1,0,0,0,1,11,6,0,0,0,0,5,0,0,0,1,1,1,0,0,10,0,3,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2,0,3,0,0,0,1,1,0,1,6,0,0,0,0,12,1,4,0,31,0,1,0,0
2024-06-04T15,129,2,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,16,1,0,0,0,17,0,0,0,0,0,1,1,15,3,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,0,13,3,3,0,18,0,0,0,0
2024-06-04T16,158,0,0,0,2,2,0,0,0,0,1,0,0,0,3,0,0,0,10,0,0,0,0,26,0,0,0,0,0,6,2,15,11,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,9,0,2,0,31,0,0,1,0
2024-06-04T17,187,1,0,0,0,2,0,1,0,1,0,0,1,0,4,1,0,0,10,0,0,0,0,39,0,0,0,0,0,2,2,8,11,0,0,0,0,1,0,0,0,0,0,2,0,0,12,0,6,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,2,0,1,0,0,2,2,0,2,5,0,0,0,0,6,3,3,2,35,0,2,0,0
2024-06-04T18,165,0,0,0,1,1,0,1,0,1,0,0,1,0,5,0,1,0,8,0,0,0,0,36,0,0,0,0,0,1,1,14,12,0,0,0,0,3,0,0,0,0,0,2,0,0,7,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,3,3,0,4,5,0,0,0,0,4,2,2,0,27,0,2,0,0
