bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KN,KR,KZ,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,MZ,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZW
2024-04-07T10,115,0,0,0,0,1,0,0,1,2,0,0,0,1,2,1,0,16,1,0,0,12,0,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,2,2,4,9,0,0,2,0,0,5,0,0,23,0,0,0,0,0
2024-04-07T11,126,0,0,0,0,2,0,0,1,1,0,1,0,3,0,1,1,18,1,0,0,5,0,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,1,1,0,0,2,1,3,7,0,0,5,0,0,5,0,0,31,0,0,1,0,0
2024-04-07T12,106,0,0,1,0,1,0,0,0,1,0,2,0,3,1,0,0,12,0,0,0,14,0,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,2,3,0,0,5,0,0,6,0,0,5,0,0,23,0,0,0,0,0
2024-04-07T13,145,1,0,0,0,1,0,0,0,1,0,2,0,7,2,0,0,19,0,0,0,17,0,0,0,0,2,0,2,6,9,0,1,1,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,2,3,0,3,5,0,0,8,0,2,5,0,0,23,0,0,0,0,0
2024-04-07T14,130,1,0,0,0,1,0,0,1,1,0,2,0,4,1,0,0,15,0,0,0,17,0,0,0,0,0,0,0,8,4,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,4,0,0,1,1,0,3,5,0,0,7,0,1,3,0,0,25,0,0,0,0,0
2024-04-07T15,166,1,0,0,0,1,0,0,0,2,0,3,0,4,1,0,0,16,0,0,0,23,0,0,0,0,0,1,0,16,8,0,1,1,0,0,0,3,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,4,0,1,6,0,0,9,0,1,2,2,0,37,0,0,0,0,0
2024-04-07T16,192,1,0,0,0,1,0,0,0,3,0,3,0,5,1,0,0,7,0,0,0,29,0,0,0,0,0,4,0,14,12,1,2,1,0,0,1,0,0,0,23,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,3,3,0,4,7,0,0,10,0,0,2,0,0,37,0,0,0,0,0
2024-04-07T17,179,2,0,0,0,1,0,0,2,3,0,2,0,5,2,0,0,6,0,0,0,45,0,0,0,0,1,3,0,7,8,0,1,1,0,0,0,1,0,0,15,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,2,4,0,7,6,0,0,8,0,0,2,0,0,27,0,0,0,1,0
2024-04-07T18,173,1,0,0,0,2,0,1,1,1,0,1,0,9,1,0,0,7,0,0,0,27,0,0,0,0,1,5,0,8,14,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,10,0,1,0,0,0,3,1,0,1,3,1,5,6,0,0,4,0,0,1,0,0,33,0,0,0,0,0
2024-04-07T19,180,3,0,0,0,2,1,0,3,1,0,1,0,8,1,0,0,4,0,0,0,27,0,0,0,0,1,1,0,6,14,0,2,1,0,0,0,1,0,1,15,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,4,0,0,2,1,0,3,8,0,0,6,0,0,0,0,0,40,0,0,0,0,0
2024-04-07T20,169,1,0,0,0,1,1,0,1,1,0,1,0,3,1,0,0,5,0,0,0,27,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,1,19,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,3,0,0,0,1,0,0,2,0,0,5,7,0,0,5,0,0,0,0,0,38,0,0,0,1,0
2024-04-07T21,166,1,1,0,0,1,1,0,1,0,0,1,0,8,3,0,0,3,0,0,0,20,0,0,0,0,0,4,0,7,11,0,1,0,0,0,0,1,0,0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,3,0,2,5,0,0,4,0,1,2,0,0,57,0,0,0,1,0
2024-04-07T22,121,1,0,0,0,2,0,0,0,2,0,2,0,9,1,0,0,3,0,0,0,13,0,0,0,0,0,3,0,5,6,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,7,0,1,1,0,0,36,0,0,0,1,0
2024-04-07T23,100,1,0,0,0,2,0,0,0,1,0,5,0,11,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,2,0,1,0,0,0,37,0,0,1,1,0
2024-04-08T00,99,0,0,0,0,2,0,0,0,1,1,2,0,8,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,5,0,0,1,0,1,0,1,0,43,0,0,0,0,0
2024-04-08T01,81,1,0,0,0,2,0,0,0,0,1,1,0,11,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,1,0,1,0,0,0,27,0,0,0,0,0
2024-04-08T02,91,4,0,1,0,1,0,0,0,2,0,1,0,7,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0,2,3,0,2,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,36,0,0,0,0,0
2024-04-08T03,74,2,0,1,0,1,0,0,0,1,0,2,0,8,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,28,0,0,0,0,0
2024-04-08T04,126,3,0,2,0,1,0,1,1,1,0,1,0,5,0,0,0,18,1,0,0,15,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,9,0,1,3,0,0,1,0,0,41,0,0,0,0,0
2024-04-08T05,90,4,0,1,0,2,0,0,0,2,0,1,0,3,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,28,0,0,0,0,0
2024-04-08T06,88,2,0,0,0,3,0,0,1,1,0,1,0,2,0,0,0,17,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,3,0,0,1,0,0,31,0,0,0,0,0
2024-04-08T07,104,2,0,1,0,1,0,1,0,1,1,1,0,2,1,0,0,22,0,0,0,9,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,3,0,0,3,0,0,24,0,0,0,0,1
2024-04-08T08,104,2,0,1,0,1,0,1,0,2,1,1,0,2,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,3,2,0,1,6,0,0,3,0,0,2,0,0,26,0,0,0,0,0
2024-04-08T09,109,4,1,0,1,1,0,1,0,1,0,1,0,9,0,0,0,15,0,0,0,11,0,0,0,0,0,3,0,2,7,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,4,0,0,2,0,0,24,0,0,1,1,0
2024-04-08T10,119,2,0,0,0,1,0,1,0,0,0,2,1,3,0,0,0,9,0,0,0,9,0,0,0,0,0,2,0,6,6,0,1,0,0,0,0,1,0,1,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,2,0,2,6,0,0,6,0,1,5,0,0,25,0,0,1,0,0
2024-04-08T11,134,4,0,0,1,2,0,1,1,1,0,2,1,1,5,0,0,8,0,0,0,9,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,2,0,1,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,3,2,0,3,8,0,0,8,0,1,12,0,0,33,0,0,0,1,0
2024-04-08T12,109,2,0,0,0,1,0,1,0,1,0,1,0,3,3,0,0,8,0,0,0,13,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,1,0,6,0,0,8,0,0,8,0,0,31,0,0,0,1,0
2024-04-08T13,100,3,0,0,2,1,0,1,0,1,0,1,0,2,1,0,0,5,0,0,0,9,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,1,0,1,1,0,1,5,0,0,8,0,1,5,0,0,22,0,0,0,0,0
2024-04-08T14,112,0,0,0,1,1,0,0,0,0,0,2,0,6,1,0,0,3,0,0,0,12,0,0,0,0,0,1,0,4,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,1,2,0,0,3,3,0,1,5,0,0,10,0,0,3,0,0,30,0,0,0,1,0
2024-04-08T15,117,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,0,8,7,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,1,4,0,3,5,0,0,13,0,0,3,0,0,25,0,0,0,0,0
2024-04-08T16,136,1,0,1,2,1,0,0,0,1,0,3,0,2,1,0,0,12,0,0,0,25,0,0,0,0,0,1,0,12,10,0,3,1,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,1,1,5,0,0,6,0,0,5,0,0,20,0,0,0,0,0
2024-04-08T17,143,3,1,0,0,1,0,0,0,1,0,2,0,2,2,0,0,16,0,0,0,23,0,0,0,0,0,0,0,9,8,0,0,0,0,1,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,1,1,0,9,5,0,0,7,0,1,3,0,0,24,0,0,0,0,0
2024-04-08T18,227,0,0,1,0,1,0,0,0,0,0,2,0,3,2,0,0,13,0,0,0,43,0,0,0,0,0,3,0,9,11,0,0,3,1,0,0,0,0,2,18,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0,1,3,0,0,1,2,0,3,7,0,0,9,1,2,1,0,0,42,0,0,0,1,0
2024-04-08T19,183,1,0,0,0,1,0,0,1,1,0,1,0,2,3,0,0,12,0,0,0,25,0,0,0,0,0,2,0,9,12,0,0,1,0,0,0,0,0,0,19,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,0,0,1,3,2,0,1,2,0,5,7,0,0,8,1,3,2,0,1,29,0,0,0,0,0
2024-04-08T20,188,0,0,0,0,1,0,0,2,2,0,0,0,5,2,0,0,14,0,0,0,20,0,0,0,0,0,1,0,8,14,0,2,0,0,0,0,0,0,0,22,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,2,0,0,0,2,2,0,0,3,0,1,5,0,0,9,0,2,2,0,0,39,0,0,0,0,0
2024-04-08T21,136,1,0,1,0,1,0,0,2,2,0,1,0,3,2,0,0,14,0,0,0,17,0,0,0,0,0,0,0,4,12,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,2,1,0,0,1,0,2,6,0,0,6,0,3,1,0,0,25,0,0,0,0,0
2024-04-08T22,128,1,0,3,0,2,0,0,0,1,0,3,0,9,2,0,0,5,0,0,0,14,0,0,0,0,0,1,0,7,12,1,1,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,2,8,0,0,5,0,1,0,0,0,27,1,0,0,0,0
2024-04-08T23,94,0,0,2,0,1,0,0,0,1,0,2,0,4,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,3,6,0,1,0,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,35,1,1,0,0,0
2024-04-09T00,74,1,0,0,0,1,0,1,0,1,0,1,0,6,0,0,1,1,0,0,0,8,0,0,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,5,0,0,0,0,0,0,0,0,31,0,0,0,0,0
2024-04-09T01,90,4,0,0,0,2,0,1,0,2,0,0,0,9,1,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,36,1,0,0,0,0
2024-04-09T02,88,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,7,0,0,0,7,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,32,1,0,0,1,0
2024-04-09T03,61,0,0,1,0,2,0,1,0,1,0,1,0,4,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,24,0,0,0,0,0
2024-04-09T04,89,2,0,1,0,2,0,1,0,1,0,2,0,6,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,5,0,0,1,0,0,2,0,0,38,0,0,0,0,0
2024-04-09T05,85,1,0,0,1,2,0,1,0,1,0,0,0,3,1,0,0,4,0,0,0,6,0,0,0,0,0,0,0,1,5,0,2,0,1,0,0,2,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,1,8,0,0,1,0,0,3,0,0,23,0,0,1,0,0
2024-04-09T06,82,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,1,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,2,0,0,1,0,0,28,0,0,0,0,0
2024-04-09T07,102,1,0,0,0,2,0,0,1,1,0,0,0,2,2,1,0,7,0,0,0,11,0,0,0,0,0,0,0,4,4,0,2,0,0,1,0,1,0,1,4,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,3,0,0,1,0,0,27,0,0,1,0,0
2024-04-09T08,94,2,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,9,0,1,0,13,0,0,0,0,0,1,0,4,2,0,2,0,0,0,0,1,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,1,7,0,0,3,0,0,1,0,0,19,0,0,1,1,0
2024-04-09T09,106,1,0,0,0,1,0,1,2,1,0,1,0,6,1,0,0,7,0,0,0,11,0,0,0,0,0,2,0,4,2,0,2,0,0,0,0,3,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,1,2,1,0,5,1,0,4,0,1,3,0,0,23,0,0,1,0,0
2024-04-09T10,94,1,0,0,0,3,0,0,1,1,0,2,0,2,1,0,0,6,0,0,0,14,1,0,0,0,0,0,0,6,7,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,5,0,1,2,0,0,21,0,0,1,0,0
2024-04-09T11,94,1,0,0,0,1,0,0,1,1,0,1,0,2,0,1,0,5,0,0,0,10,0,0,1,0,0,2,1,3,3,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,1,3,5,0,0,5,0,2,7,0,0,17,0,0,0,1,0
2024-04-09T12,97,1,0,2,0,1,0,0,1,1,0,2,0,2,2,0,0,6,0,0,0,11,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,1,0,1,5,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,7,0,0,4,0,1,2,0,0,18,0,0,0,0,0
2024-04-09T13,95,2,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,5,0,1,0,13,0,0,0,0,0,2,0,3,5,0,1,0,1,0,0,1,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,1,5,0,0,7,0,0,6,0,0,17,0,0,1,0,0
2024-04-09T14,110,1,0,0,0,1,0,0,1,2,0,0,0,1,1,0,1,5,0,0,0,15,0,0,0,0,0,4,0,4,7,0,3,0,0,0,0,1,0,0,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,1,3,0,1,5,0,0,5,0,0,2,1,0,19,0,0,0,0,0
2024-04-09T15,124,1,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,6,0,0,1,21,0,0,0,0,0,2,0,9,9,0,2,0,0,0,0,1,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,1,2,0,0,0,0,0,3,5,0,0,10,0,0,4,0,0,16,0,0,0,1,0
2024-04-09T16,208,1,0,0,0,1,0,0,0,1,0,1,0,2,3,0,0,6,0,0,0,34,0,0,0,0,0,1,0,10,8,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,1,0,0,0,1,2,0,3,5,0,0,15,0,1,3,0,0,77,0,0,0,0,0
2024-04-09T17,174,1,0,0,0,1,0,0,2,0,0,1,0,4,2,0,0,5,0,0,0,54,0,0,0,0,0,3,0,8,15,0,1,1,0,0,0,0,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,3,1,0,2,5,0,0,8,0,1,0,0,0,26,0,0,1,0,0
2024-04-09T18,181,0,0,0,1,1,0,0,2,1,0,0,0,4,1,0,0,9,0,0,0,43,1,0,0,0,2,0,0,10,15,0,2,1,0,0,0,1,1,1,13,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,5,0,4,6,0,0,5,0,0,1,1,0,28,0,0,0,2,0
2024-04-09T19,185,2,0,0,0,1,0,0,3,1,0,2,0,5,2,1,0,7,0,0,0,35,1,0,0,0,0,0,0,10,14,0,2,0,0,0,0,0,0,0,18,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,2,0,0,2,0,0,2,9,0,0,5,0,0,1,0,0,35,0,0,0,0,0
