bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JE,JO,JP,KR,KZ,LA,LT,LU,LV,MA,MN,MU,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-01-23T01,100,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,3,6,0,0,0,0,6,0,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,7,0,0,1,0,0,2,0,38,0,0,0,1,0,0
2023-01-23T02,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,1,4,0,0,0,0,7,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,3,1,1,6,0,1,0,0,0,3,0,26,0,0,0,0,0,0
2023-01-23T03,115,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,0,0,1,3,0,0,0,0,8,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,1,1,7,1,0,0,0,0,0,0,52,0,0,0,1,0,0
2023-01-23T04,92,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,3,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,3,1,1,7,1,0,1,0,0,3,0,33,0,0,0,1,0,0
2023-01-23T05,82,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,3,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,9,0,0,1,0,0,4,0,27,0,0,0,0,0,0
2023-01-23T06,75,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,13,0,0,1,0,1,1,1,20,0,0,0,0,0,0
2023-01-23T07,63,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,2,3,1,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,6,0,0,1,0,0,1,0,18,0,0,0,1,0,0
2023-01-23T08,75,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,3,2,0,0,0,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,7,0,0,2,0,1,3,0,21,0,0,0,0,0,0
2023-01-23T09,98,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,15,0,0,0,0,1,0,4,1,0,0,0,5,0,0,0,0,2,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,7,0,1,2,0,0,9,0,21,0,0,0,0,0,0
2023-01-23T10,119,4,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,6,0,0,1,0,19,0,0,0,0,0,0,8,4,0,0,0,11,0,0,0,0,4,0,3,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,7,0,0,1,0,0,2,0,19,0,0,0,1,0,0
2023-01-23T11,113,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,4,0,0,1,0,10,0,0,0,0,2,0,6,4,0,0,0,19,0,1,1,0,0,0,6,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,4,1,3,5,0,0,1,0,2,3,0,14,0,0,0,1,0,0
2023-01-23T12,132,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,21,0,0,0,0,0,0,5,4,0,0,0,30,0,1,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,4,1,1,7,0,0,5,0,0,3,0,19,0,0,0,0,0,0
2023-01-23T13,134,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,4,0,0,0,0,15,0,1,0,0,0,0,5,3,0,0,0,39,0,0,0,0,1,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,5,0,1,3,0,0,5,0,18,0,0,0,0,0,0
2023-01-23T14,115,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,5,1,0,0,3,0,0,0,0,20,0,0,0,0,2,0,9,7,0,0,0,7,0,0,0,0,0,0,5,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,10,1,0,0,0,1,0,0,0,0,0,2,0,2,1,3,5,0,0,3,0,0,1,0,14,0,0,0,0,0,0
2023-01-23T15,116,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,20,0,0,0,0,1,0,6,9,0,0,0,4,0,0,0,0,0,0,10,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,0,0,0,0,0,0,2,1,1,5,0,0,3,0,0,2,0,17,0,0,0,0,0,0
2023-01-23T16,137,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,1,28,2,0,0,0,2,0,11,11,0,0,0,3,0,0,0,0,0,0,9,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,7,0,0,5,0,0,0,0,15,0,0,0,0,0,0
2023-01-23T17,168,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,16,1,0,0,0,33,0,0,0,0,3,0,8,8,0,0,0,1,0,0,0,0,0,0,20,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,4,2,4,5,0,0,6,0,0,0,1,30,0,0,0,0,0,0
2023-01-23T18,210,4,0,0,0,1,0,0,0,0,0,3,0,0,0,0,6,0,0,0,19,0,0,0,0,51,0,0,0,0,5,0,12,14,0,0,0,3,0,1,1,0,0,0,20,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,1,0,9,1,8,6,0,0,2,0,1,1,0,23,0,0,0,0,0,0
2023-01-23T19,210,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,1,13,0,0,0,0,53,0,0,0,0,6,0,10,15,0,0,0,1,0,0,0,0,0,0,17,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,2,0,7,1,3,5,0,0,1,0,1,3,0,22,0,0,0,0,0,0
2023-01-23T20,200,3,0,0,0,1,1,0,0,0,0,1,0,0,1,0,9,0,0,0,16,0,0,0,0,42,0,0,0,0,8,0,11,17,0,0,0,0,0,1,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,2,0,0,0,3,0,1,0,4,7,0,0,0,0,0,4,1,29,0,0,0,0,0,0
2023-01-23T21,195,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,11,1,0,1,17,0,0,0,1,34,0,0,0,0,3,0,8,17,0,0,0,1,0,1,1,0,0,0,22,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,7,0,0,1,0,2,1,0,34,0,0,0,0,0,0
2023-01-23T22,129,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,11,1,0,0,0,24,0,0,0,0,4,0,8,8,0,1,0,2,0,0,1,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2023-01-23T23,118,3,0,0,0,3,0,1,0,0,0,1,0,0,0,0,8,0,0,0,18,0,0,0,1,11,0,0,0,0,3,0,1,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,6,0,1,1,0,0,0,0,19,0,0,0,0,0,0
2023-01-24T00,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,20,1,0,0,0,6,0,0,0,0,1,0,4,4,0,0,0,1,0,1,0,0,1,1,9,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,38,0,0,0,0,0,0
2023-01-24T01,140,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0,0,20,1,0,0,0,5,1,0,0,0,0,0,2,2,0,0,0,6,0,1,0,0,0,1,2,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,2,0,54,0,0,0,0,0,0
2023-01-24T02,157,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,17,0,1,0,18,1,0,0,0,7,0,0,0,0,0,0,1,6,0,0,0,3,0,1,0,0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,6,0,0,2,0,0,2,0,65,1,0,0,0,0,0
2023-01-24T03,155,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1,0,19,0,0,0,0,6,0,0,0,0,0,0,6,11,0,0,0,4,0,0,0,0,5,0,0,0,0,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,5,0,0,2,0,0,1,0,59,0,0,0,0,0,0
2023-01-24T04,144,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,9,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,28,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,6,0,0,1,0,0,1,1,57,0,0,0,0,0,0
2023-01-24T05,110,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0,1,1,0,3,0,62,0,0,0,1,0,0
2023-01-24T06,130,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,6,1,0,0,0,11,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,1,1,0,3,0,60,0,0,0,1,0,0
2023-01-24T07,93,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,18,0,0,0,0,1,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,3,0,0,0,0,33,0,0,0,1,0,0
2023-01-24T08,99,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,19,2,0,0,0,1,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,0,2,0,29,0,0,0,0,0,0
2023-01-24T09,137,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,11,0,0,0,0,1,0,6,3,0,0,0,2,1,0,0,0,0,0,4,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18,6,0,0,1,0,1,2,0,51,0,0,0,0,2,0
2023-01-24T10,158,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,9,0,0,0,0,18,2,0,0,0,0,0,7,5,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,2,7,0,0,3,0,0,2,0,81,0,1,0,0,0,0
2023-01-24T11,131,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,10,1,0,0,0,0,0,4,6,0,1,0,2,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,2,1,0,0,0,0,0,0,3,0,2,6,0,0,2,0,0,1,0,60,0,1,0,1,0,0
2023-01-24T12,130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,11,0,1,0,0,1,0,7,16,0,0,0,1,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,1,0,2,23,0,0,3,0,0,4,1,32,0,0,0,0,0,0
2023-01-24T13,115,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,11,0,0,0,0,3,0,3,14,0,0,0,5,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,5,0,0,2,0,37,0,0,0,0,0,0
2023-01-24T14,168,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,4,0,1,0,4,0,0,0,1,17,0,0,0,0,1,0,4,5,0,0,0,4,1,1,0,0,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,1,4,0,0,2,1,70,0,0,0,1,0,0
2023-01-24T15,243,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,22,0,0,0,0,2,0,10,6,0,0,0,2,1,0,0,0,7,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,17,0,0,11,0,1,4,1,119,0,0,0,0,0,0
2023-01-24T16,176,3,4,0,1,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,32,0,0,0,0,4,0,6,8,0,0,0,0,0,1,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3,7,1,0,10,0,1,2,1,58,0,0,0,1,0,0
2023-01-24T17,173,1,1,0,0,0,1,6,0,0,0,2,0,0,0,0,4,2,0,0,1,0,0,0,0,43,1,0,0,0,2,0,17,8,0,0,0,2,0,0,0,0,2,0,21,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,0,1,0,1,0,6,5,0,0,8,0,1,1,1,21,0,0,0,0,0,0
2023-01-24T18,273,1,2,0,0,0,1,15,0,0,0,2,0,0,11,0,9,2,0,0,2,0,0,0,2,59,0,0,0,0,6,0,11,11,0,0,0,0,0,0,0,0,1,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2,0,0,0,1,0,2,0,6,6,0,0,2,0,1,2,0,77,0,0,0,0,0,0
2023-01-24T19,208,2,0,0,0,2,0,0,0,0,0,3,0,0,3,0,8,2,0,0,8,0,0,0,1,55,0,0,0,0,3,0,10,16,0,0,0,2,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,2,0,0,0,0,0,5,0,8,6,0,0,2,0,1,0,0,32,0,0,0,0,0,1
2023-01-24T20,252,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,3,1,0,0,1,37,0,0,0,0,6,0,17,16,0,0,0,2,0,0,0,0,2,0,15,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,22,1,0,0,0,0,0,5,0,0,0,3,0,3,0,1,6,1,0,1,0,3,1,0,87,0,0,0,0,0,0
2023-01-24T21,234,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,2,0,0,13,1,0,0,0,33,0,0,0,0,6,0,12,10,0,0,0,2,0,0,0,0,1,0,21,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,2,0,4,0,2,5,2,0,1,0,1,1,0,76,0,0,0,0,0,0
