bucket,total,--,AR,AT,AU,BA,BD,BE,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DZ,ES,FI,FR,GB,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JO,JP,KR,KZ,LU,MA,MU,MX,MY,NL,NO,NZ,PH,PK,PL,PR,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,US,UZ,VE,VN,ZA
2023-01-22T11,108,4,0,0,1,0,0,0,0,3,1,0,7,0,0,1,19,0,0,5,0,7,9,0,0,3,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,1,2,6,0,1,0,4,0,13,0,0,1,0
2023-01-22T12,131,4,0,0,0,0,0,0,0,2,1,0,9,0,0,0,27,1,0,2,1,10,4,0,0,2,0,0,0,0,2,0,8,0,0,5,0,0,0,0,0,0,8,0,0,2,0,3,0,2,1,0,3,1,2,6,0,7,1,1,0,15,0,0,1,0
2023-01-22T13,139,4,0,2,1,0,0,0,0,1,2,0,5,0,0,0,25,1,0,4,2,10,6,0,0,1,1,1,1,0,2,0,5,0,1,2,0,0,0,0,0,1,14,0,1,3,1,1,0,0,0,0,3,1,2,5,0,10,1,3,0,15,1,0,0,0
2023-01-22T14,130,3,0,1,0,1,0,0,2,2,2,0,2,0,0,0,25,1,0,2,0,13,7,1,0,5,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,12,0,0,3,0,1,0,0,0,0,3,1,2,6,0,6,0,3,1,18,0,0,0,0
2023-01-22T15,180,2,0,1,0,1,1,0,1,4,1,1,5,0,1,0,38,1,0,2,0,16,9,0,0,2,0,1,0,0,0,0,19,0,2,1,0,1,0,0,0,1,16,1,1,2,0,2,0,0,1,1,4,1,2,5,0,7,0,2,1,21,0,0,2,0
2023-01-22T16,211,3,1,0,0,0,0,0,1,9,0,2,13,0,1,1,41,0,0,1,0,23,10,1,0,0,2,1,0,2,1,1,15,0,0,1,0,0,0,0,0,0,15,0,0,1,0,2,0,1,1,0,7,0,6,6,0,6,0,3,1,30,0,0,2,0
2023-01-22T17,247,2,2,0,0,0,0,2,1,6,2,1,16,0,1,1,47,1,0,5,0,23,12,0,0,1,2,1,0,1,0,0,34,0,2,4,0,0,0,0,1,0,7,2,1,1,1,1,0,1,1,0,5,1,11,5,0,5,0,3,0,32,0,1,1,0
2023-01-22T18,238,4,2,0,0,0,0,1,4,11,0,0,16,0,0,0,52,0,0,7,0,13,14,0,0,1,2,1,0,0,0,0,24,0,2,3,0,1,0,0,0,0,14,2,1,0,0,3,0,0,1,0,4,1,6,8,0,3,0,3,1,32,0,1,0,0
2023-01-22T19,204,2,0,1,0,0,0,2,2,4,0,0,20,1,0,0,49,0,0,3,0,12,15,0,0,0,0,1,0,0,0,0,16,0,2,5,0,1,0,0,0,1,18,2,0,0,0,3,0,0,1,0,0,1,3,5,0,2,1,1,0,30,0,0,0,0
2023-01-22T20,187,3,1,0,0,0,0,1,1,7,1,0,18,1,0,0,35,0,0,3,0,10,15,0,0,0,0,0,0,0,1,0,10,0,1,1,1,0,1,0,0,1,15,2,1,0,0,2,0,0,2,0,1,1,2,6,0,0,1,0,0,42,0,0,0,0
2023-01-22T21,185,3,2,1,0,0,0,1,4,8,2,0,21,2,0,1,27,0,0,4,0,7,11,0,0,0,0,0,0,0,0,0,15,0,1,2,0,0,0,0,0,0,18,2,0,0,0,2,0,1,2,0,2,1,3,7,1,1,1,3,0,29,0,0,0,0
2023-01-22T22,135,2,0,1,0,0,0,0,2,5,1,0,3,0,0,0,28,0,0,1,0,11,8,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,3,0,11,0,1,0,0,1,1,0,1,0,1,1,1,7,0,0,1,0,0,32,0,0,2,0
2023-01-22T23,104,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,17,0,0,0,0,5,6,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,2,0,3,0,0,0,1,1,0,2,0,0,0,1,1,6,0,0,1,5,0,24,0,0,4,0
2023-01-23T00,71,0,1,0,0,0,0,0,0,9,1,1,3,0,1,0,9,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,6,0,0,0,1,0,23,0,0,0,0
